NOME FERMATA,COMUNE
Madonna Marina Cimitero,Chioggia
Sottomarina Da Verrazzano,Chioggia
Sottomarina Calliope,Chioggia
DISTR.METANO,Chioggia
DISTR.GASOLIO,Chioggia
Chioggia Zarlino,Chioggia
Lungomare Adriatico,Chioggia
Ridotto Madonna,Chioggia
Chioggia Venturini,Chioggia
Chioggia Venturini,Chioggia
Valli Porcellana,Chioggia
Valli Porcellana,Chioggia
Chioggia Valli,Chioggia
Chioggia Valli,Chioggia
Chioggia Campo Marconi,Chioggia
Ca' Bianca campi Sportivi,Chioggia
Ca Bianca Amolara,Chioggia
Ca Bianca Amolara,Chioggia
Ca Bianca Civico 139,Chioggia
Rebosola Civico 139,Chioggia
Ca' Bianca Provinciale 7,Chioggia
Ca' Bianca Provinciale 7,Chioggia
Ca' Bianca Ponte,Chioggia
Ca' Bianca Ponte,Chioggia
Ca' Bianca Civico 17,Chioggia
Ca' Bianca Civico 17,Chioggia
Rebosola Ca' Amelia,Chioggia
Rebosola Ca' Amelia,Chioggia
Rebosola Idrovora,Chioggia
Rebosola Idrovora,Chioggia
Ca' Pasqua Provinciale 7,Chioggia
Ca' Pasqua Provinciale 7,Chioggia
Chioggia  Civico 12,Chioggia
Chioggia Civico 12,Chioggia
Romea del Bosco,Chioggia
Romea del Bosco,Chioggia
Romea Cimitero,Chioggia
Romea Cimitero,Chioggia
Romea Pegorina,Chioggia
Romea Pegorina,Chioggia
Romea Canal di Valle,Chioggia
Romea Canal diValle,Chioggia
Romea Marinetta,Chioggia
Romea Marinetta,Chioggia
Romea Primavera,Chioggia
Romea Primavera,Chioggia
Romea Sant' Anna,Chioggia
Romea Sant' Anna,Chioggia
Romea Fisola,Chioggia
Romea Fisola,Chioggia
Romea Ca' Lino,Chioggia
Romea Ca' Lino,Chioggia
Romea Sant'Anna,Chioggia
Romea Sant'Anna,Chioggia
Romea Vecchia Romea,Chioggia
Vecchia Romea,Chioggia
Romea Civico 6,Chioggia
Lungo Brenta Civico 6,Chioggia
Chioggia San Giuseppe,Chioggia
Lungo Brenta San Giuseppe,Chioggia
Chioggia Brenta,Chioggia
San Giuseppe Lungo Brenta,Chioggia
Chioggia Civico 78,Chioggia
Chioggia Civico 78,Chioggia
Chioggia Civico 64,Chioggia
Chioggia Civico 64,Chioggia
Ca' Lino 1 Maggio,Chioggia
San Giuseppe 1 Maggio,Chioggia
Chioggia Ca' Lino,Chioggia
San  Giuseppe Ca' Lino,Chioggia
Ca' Lino Colmello,Chioggia
Nazioni Unite Colmello,Chioggia
Isola Verde Isamar,Chioggia
Isola Verde Isamar,Chioggia
Isola Verde Civico 22,Chioggia
Isola Verde Civico 22,Chioggia
Isola Verde Civico 7,Chioggia
Isola Verde Civico 7,Chioggia
Isola Verde,Chioggia
Rebosola 21,Chioggia
Rebosola 21,Chioggia
